NEWS_TITLE,GARV_JAIN,NEWS_LINK,FULL_SCRAPED_TEXT
"After Chirag Paswan, other BJP allies also ask EC for ‘clarification’",Garv Jain,https://indianexpress.com/article/political-pulse/sir-row-bjp-allies-cec-gyanesh-kumar-clarification-10893856/,"The BJP’s allies on Friday saidChief Election Commissioner (CEC) Gyanesh Kumarmust “dispel misgivings in the minds of the people” and issue a clarification on the differences in the poll panel over Special Intensive Revision (SIR) of electoral rolls. The statements from the Telugu Desam Party, theLok Janshakti Party (Ram Vilas),and theRashtriya Lok Morcha (RLM)came as the Opposition sought answers on the rift in the Election Commission (EC). The Indian Express on September 23 reported that Election Commissioners Sukhbir Singh Sandhu and Vivek Joshi had objected on record at least 14 times in 10 months to SIR-related decisions taken without their knowledge and glaring gaps in processes. “If questions are being raised about the Election Commission, which is an independent constitutional body, responsibility lies with the CEC to present his stance clearly. It is problematic if people begin to doubt the electoral process itself. The EC needs to present its stance, not to Rahul Gandhi, but to the public. But it must dispel misgivings in the minds of people,” Union Minister and LJP (RV) chiefChirag Paswantold reporters. TDP’s Lok Sabha floor leader Lavu Srikrishna Devarayalu said the SIR was “conducted in a transparent manner” in Andhra Pradesh, but added, “At the same time, the Election Commission of India is a constitutional institution entrusted with a crucial responsibility in our democracy. Therefore, whenever questions are raised by anyone, providing appropriate clarification and maintaining transparency will only help strengthen public confidence in the institution.” RLM chief andRajya SabhaMPUpendra Kushwahatold The Indian Express, “What has transpired so far is that there is surely an issue with the EC’s functioning. Whatever may be the case, the EC must clarify its position … it must clarify the questions being raised and concerns being flagged.” एस आइ आर से संबंधित विवाद पर जनता में काफी उलझन की स्थिति पैदा हो गई है। विषय को एड्रेस करने की जरूरत है। कंफ्यूजन दूर करने हेतु चुनाव आयोग के द्वारा अविलंब सही स्थिति पर स्पष्टीकरण आना चाहिए।@ECISVEEP — Upendra Kushwaha (@UpendraKushRLM)September 25, 2026 JD(U) spokesperson Rajiv Ranjan asked why the Opposition had not filed any official complaint “if the allegations are true”. “The RJD was aware that it was going to be defeated. They kept trying to blame the Election Commission repeatedly. But the Election Commission of India sought a clarification when allegations of irregularities in the SIR were raised, and submitted that if there are so many accusations, why is there no official complaint,” he told reporters. Responding to the Express investigation on September 23, the EC acknowledged these notes but described them as part of the panel’s “decision-making process”. However, it neither responded to any of the concerns raised by the two Commissioners nor stated whether or how it addressed them. “Differing views and observations are a normal part of deliberation in any institution,” the Commission said in a press note signed by Deputy Director P Pawan. “They are a part of the decision-making process before a final decision is taken.” The “written notes, observations, technical suggestions and internal checks-and-balances” by its members, it said, were “standard, ongoing practices”, and “the suggestions given by the Commissioners were for further improving the electoral processes”."
ExplainSpeaking: Will the Indian economy’s size triple in next 10 years?,Garv Jain,https://indianexpress.com/article/explained/explained-economics/explainspeaking-india-economy-gdp-triple-in-10-years-10890971/,"Dear Readers, In a recent interview, Jamie Dimon, the Chairman of the Board and Chief Executive Officer of JPMorgan Chase & Co., said that India’s economy could be three times its current size over the next decade. “My guess is if we meet again in 10 years…your economy 10 years from now will probably be three times the size,” Dimon said to CNBC-TV18, as he sounded upbeat about the future and outlined continued expansion of the firm’s business in the country. Dimon’s words carry weight because JPMorgan Chase is one of the biggest banks in the world, if not the biggest. As a financial firm, it operates across the world and has assets of $3.2 trillion. In India, by its own account, JPMorgan Chase has provided over $80 billion (or Rs 7.7 lakh crore or trillion) as credit and capital to clients across various industries since 2019. Additionally it has spent $90 million (Rs 861 crore) in philanthropic contributions since 2015. A brief history of GDP targets This is not the first time someone in authority has given a projection for India’s economy. For a while now, the current government has been chasing the $5-trillion economy mark. The initial reference to the $5-trillion mark was made by Prime Minister Narendra Modi in a speech at the World Economic Forum in 2018. At that time, he had said that the size of India’s economy will be $5 trillion by 2025. In 2018, India’s annual gross domestic product (or GDP, which is the measure of the size of any economy) was $2.7 trillion. In a speech later in 2018, the PM advanced this target to 2022. According to the data from the International Monetary Fund (IMF), as of the end of 2025-26 (which IMF refers to as 2025), India’s GDP was $3.9 trillion. Over the years, however, the $5-trillion target gave away to the target of becoming Viksit Bharat by 2047. In hard numbers, this was referred to as becoming a $35 trillion economy by 2047. In October last year, during the Berlin Global Dialogue, India’s Commerce and Industry Minister Piyush Goyal claimed that in 20-25 years, India will be a $30 trillion economy. Here’s anexplainer on that claim. The answer crucially depends on whether Dimon was talking about India trebling its GDP in Indian rupee terms or in US dollar terms. Typically, India’s GDP is initially assessed in Indian rupee terms (called the Nominal GDP). For international comparisons, GDPs of different countries are recalculated in US dollar terms. This recalculation is done by using the exchange rate of any given currency with the US dollar. Since India’s rupee weakens against the US dollar every year, achieving this goal in US dollar terms is considerably tougher than achieving it in rupee terms. For instance, between 2014 and 2026, the Indian rupee has depreciated by 3.2% each year against the US dollar. It should be noted that the calculations in this piece are all about nominal GDP, and not “real” GDP, which is calculated after taking away the effect of inflation, and is often the more commonly talked about version of GDP. Trebling nominal GDP in US$ terms CHART 1shows that trebling the size of annual GDP in the next 10 years would require India to double the rate at which the economy grows each year. Between 2014 and 2026, India’s GDP in US dollar terms has grown at a compounded annual growth rate (CAGR) of 6.2%. If India continues to grow at this rate, then in 2036, India’s GDP will only be $7.6 trillion. This is far lower than a trebling from the 2026 level of $4.2 trillion. To triple the GDP size to $12.5 trillion by 2036, India would have to grow at 11.6% each year in US dollar terms between now and 2036 — that’s almost double the rate achieved in the past 12 years. To achieve this rate in US dollar terms, India’s nominal GDP (in rupees) would have to grow at 15% (14.7% to be exact) each year until 2036. To understand how ambitious this growth rate is, it helps to note that India’s nominal GDP (in rupees) grew at a CAGR of 10% between 2014 and 2025. What’s more, this 10% growth rate is based on the old GDP series that was discarded earlier this year for overstating India’s GDP. Trebling in INR terms In contrast, trebling nominal GDP in INR terms is a much more likely possibility. To triple in Indian rupee terms India would have to register an average growth rate of 11.6% of nominal GDP — that’s still higher than the 10% rate achieved since 2014 but far easier to achieve than the 14.7% required to triple in US dollar terms. CHART 2shows the contrast between the trajectory required to triple the GDP in dollar terms as against trebling in rupee terms. Which one might Dimon be referring to? For any international investor, who invests using US dollars, the only returns that matter are the ones in dollar terms. If the Indian economy grows at 10% in rupee terms in a particular year but this growth happens in such a manner that rupee depreciates by 10% against the US dollar, then India’s growth in dollar terms in that year will be zero. The same argument holds true for foreign investors and how they calculate the returns on their investments. It is more likely that they expect India’s GDP to treble in dollar terms. While expecting a trebling of GDP is a great sign of confidence in India’s growth story, as shown in the calculations above, achieving it is a tall order, especially given the evidence of the past 12 years. Do you think India is set to treble its GDP in the next 10 years? What should India do more to boost growth? Share your views and queries atudit.misra@expressindia.com Take care, Udit"
"Form probe team, move against CEC Gyanesh Kumar: Petitioner to Supreme Court",Garv Jain,https://indianexpress.com/article/legal-news/supreme-court-plea-cec-gyanesh-kumar-election-commission-unilateral-decisions-sit-probe-10894169/,"A petition has been filed in the Supreme Court, urging it to declare as illegal “all decisions, guidelines, directives and software modifications initiated, approved, or implemented” under Chief Election Commissioner Gyanesh Kumar “without full Commission concurrence”. The petition filed by Delhi-based lawyer Shailendra Mani Tripathi has sought a probe by an independent, high-powered judicial inquiry commission or a special investigation team headed by a retired judge of the Supreme Court in the wake ofThe Indian Expressreport on objections by two Election Commissioners to decisions taken by the Election Commission without their knowledge. Tripathi has urged the court to issue appropriate directions to the competent statutory authority to register complaints and initiate prosecution under Section 32 of the Representation of the People Act, 1950 against Gyanesh Kumar, Senior Deputy Election Commissioner Maneesh Garg and Director General (Information Technology) Seema Khanna and all other officers found guilty of deliberate breach of official duty. The petition refers to “unprecedented constitutional fractures and illegalities committed within the Election Commission of India under Chief Election Commissioner Shri Gyanesh Kumar as exposed by documentary records published on September 23, 2026”. It said “these official files reveal that over a 10-month period (November 2025-August 2026), the other two Election Commissioners – Dr Sukhbir Singh Sandhu and Dr. Vivek Joshi – formally recorded written dissents and objections on at least 14 separate occasions (including four times on a single day) against unilateral, unauthorized, and illegal decisions taken and executed in the name of the Commission”. “These illegal acts include: Unilateral & Illegal Alteration of Statutory Form 6… Centralisation and Usurpation of Statutory Powers: Depriving decentralised Electoral Registration Officers (EROs) of their statutory authority under Section 13B, 22, and 23 of the Representation of the People Act, 1950, and centralizing electoral roll management under the Director General of IT (DG-IT) in Delhi… Disenfranchisement Due to Software Failures…Unauthorized Subversion in West Bengal” by “filing over 16.10 lakh unauthorised appeals in the name of the ECI to purge citizens restored by 700 Judicial Officers, without the knowledge, authorization, or sanction of the other two Election Commissioners or the Chief Electoral Officer (CEO) of West Bengal… Bureaucratic Usurpation and Subversion of Oversight” and “Subversion of Multi-Member Decision Making”. The plea said the alleged “act of.. Kumar deliberately manipulating the electoral roll bears no ‘reasonable nexus’ or legal connection to his official duties; such an act falls squarely outside the ambit of official immunity and constitutes distinct, personal criminal liability.” It said that “in the absence of this legal nexus, the statutory protection available under Section 16 of the Chief Election Commissioner and other Election Commissioners Act, 2023 becomes entirely ineffective. Although Section 16 bars courts from entertaining or continuing civil or criminal proceedings against the Chief Election Commissioner, this protective shield is restricted strictly to acts performed in the discharge or purported discharge of official duty.” Tripathi said that “from a constitutional standpoint, the Chief Election Commissioner enjoys no personal immunity from criminal prosecution… Article 324 merely grants the Chief Election Commissioner security of tenure (subject to removal by impeachment), not immunity from personal criminal liability.” He urged the court to quash “the unauthorised modifications made to Form 6 on the ECINet/ERONet portal requiring ancestry/last-SIR declarations, and directing the immediate restoration of statutory Form 6 as prescribed under the Registration of Electors Rules, 1960 and permit all eligible adults to register as voters on the basis of original statutory requirements”. The petition said an SIT should be constituted to “conduct an end-to-end technical, forensic, and administrative audit of ECINet and ERONet databases, investigate the institutional circumstances under which 13 crore names were deleted across 30 States/UTs under the Special Intensive Revision (SIR)” and “identify individual culpability for the unauthorised filing of 16.10 lakh appeals and work-allocation subversions”."
"Government never agreed to 5-day work week for banks, facts being twisted: Official sources",Garv Jain,https://indianexpress.com/article/business/banking-and-finance/government-never-agreed-to-5-day-work-week-for-banks-facts-being-twisted-sources-10893558/,"The government never agreed to a 5-day working week for banks, afinance ministryofficial has said ahead of the three-day strike announced by theUnited Forum of Bank Unions (UFBU)from September 28 to 30 because this key demand has not been met. “The five-day week was never agreed at the time of the last wage negotiations. It was never a negotiating tool. They (bank unions) are twisting the facts,” the official said on the condition of anonymity. In a letter dated September 22, the All India Bank Officers’ Confederation said there had been no response to this demand “which was agreed and signed in March, 2024 under the last wage revision settlement”. The letter added that officials from the Indian Banks’ Association (IBA) had informed union representatives that the issue of five-days banking is “under consideration by the Government”. Currently, bank branches are open on the first, third, and fifth Saturdays of every month. The 12th Bipartite Settlement, agreed in March 2024, said that “in terms of an understanding” was reached between the IBA and unions to declare all Saturdays as holidays for banks. “…IBA has accordingly recommended to the Government. The due changes in the working hours, will be effective after approval by the Government of India and necessary clearances from Government / Reserve Bank of India,” the Settlement said. However, the finance ministry official asserted the government had not agreed to a five-day work week, although a lot of other concessions were made. “The IBA didn’t want to go beyond an 11% hike in the wage negotiations, but the government intervened and a hike of 17% was announced. Even on the issue of family pension, the IBA was not keen but the government said that post-retirement, they will be on the other side, and they should not fight it,” the source said, adding that the performance-linked incentive (PLI) scheme had been kept on hold for the current financial year following opposition. Announced in November 2024, the PLI scheme for public sector banks’ employees faced intense pushback and was called “discriminatory” because it was only for Scale 4 officers and above. According to bank unions, the scheme is divisive, demotivating, and distortionary. With the three-day strike that begins on Monday in mind, the government on Wednesday said public sector banks and regional rural banks will function as normal on September 27, Sunday. The decision, the Ministry of Finance said, was being taken to ensure “genuine banking needs” of the public are not hindered for an extended period. With September 26 being a non-working Saturday for banks, the three-day strike would have led to banks being shut for five days in a row. The RBI has given its approval for all bank branches, offices, ATM-linked branches, and currency chests to remain “fully operational” on Sunday, the finance ministry further said on Wednesday."
Jaishankar hits back at Pakistani journalist at UN: ‘A terrorist country is asking me’,Garv Jain,https://indianexpress.com/article/world/s-jaishankar-pakistan-journalist-terrorist-country-unga-exchange-10894192/,"External Affairs MinisterS JaishankarFriday sharply responded to a Pakistani journalist who questioned him about terrorism at theUnited Nationsheadquarters in New York. The exchange took place after Jaishankar and Liberian Foreign Minister Sara Beysolow Nyanti addressed reporters on the launch of a new Group of Friends focused on the safety and security of shipping and seafarers. After the ministers’ remarks, the Pakistani journalist asked Jaishankar, “When will your government stop sponsoring terrorism in Pakistan?” Jaishankar responded, “A terrorist country is asking me that question. Come on.” #WATCH| 81st UNGA Session | “A terrorist country is asking me that question,” says EAM Dr S Jaishankar in response to a Pakistani’s attempt at heckling EAM with a terrorism ‘question’pic.twitter.com/wIfu9OUhfO — ANI (@ANI)September 25, 2026 India’s Permanent Representative to the UN, Harish Parvathaneni, then told the journalist, “You have heard your reply. You have heard your response, loud and clear.” The exchange came a day after Pakistan Prime MinisterShehbaz Sharifwas questioned by an Indian journalist as he entered the UN headquarters. The journalist asked Sharif, “When will you stop harbouring terrorists?” Sharif did not respond. He was also asked later when Pakistan would prosecute Lashkar-e-Taiba chief Hafiz Saeed, according to reports. #WATCH| New York, US: “Prime Minister, when will you stop harbouring terrorists?” ANI questions Pakistani Prime Minister Shehbaz Sharif as he enters the UN headquarters. Pakistani PM refuses to answer.pic.twitter.com/IMANrxWYb5 — ANI (@ANI)September 24, 2026 The Jaishankar exchange came during a press interaction linked to a new maritime initiative launched by India and Liberia on the sidelines of the 81st UN General Assembly. The two countries announced the establishment of the “Group of Friends on Safety and Security of Shipping and Seafarers”, bringing together countries concerned about the growing risks faced by commercial vessels and their crews. “India, as a major source of seafarers, and Liberia, as the largest shipping registry, have come together to highlight the safety and security of shipping and seafarers,” Jaishankar said at the meeting. He said attacks on commercial shipping and seafarers were no longer exceptional occurrences. “In the last few months, commercial shipping and marinas have been subjected to repeated attacks in the Gulf, the Red Sea, and its vicinity,” Jaishankar said. “These actions that disrupt maritime commerce and cost innocent lives are simply indefensible.” The group comes amid continuing security risks in key maritime routes, including the Strait of Hormuz, Gulf of Oman, Red Sea, Gulf of Aden, Bab-el-Mandeb and the Black Sea. India has a particular interest in the issue because of the large number of Indian seafarers working aboard Indian-flagged and foreign-flagged vessels. The maritime security concerns have also had a direct impact on Indian crews. On September 23, one Indian national was killed after the bulk carrierMV Cape Dao came under attack off Omanwhile heading towards India. The Indian Embassy in Oman said it was coordinating with Omani authorities over the safety of the crew, while India’s Ministry of External Affairs said 19 of the 20 Indian seafarers aboard the vessel had been rescued. The attacks have also disrupted commercial shipping through the region. Reuters reported this week that only two commodity vessels crossed the Strait of Hormuz on September 21, compared with a pre-conflict average of about 125 large commercial ships a day. Two vessels were also reported struck in the strait, although responsibility for those attacks had not been established. India has separately issued safety advisories for its seafarers operating in conflict-affected waters. The government has said it is maintaining monitoring and emergency-response mechanisms for Indian crews in the Gulf region. The new India-Liberia grouping is intended to bring greater international attention to the safety of commercial shipping and seafarers as maritime routes face growing risks from ongoing conflicts. (With inputs from PTI, Reuters)"
Who is Rajiv Rangila? Mastermind of Rs 700-cr Delhi medical supplies fraud arrested,Garv Jain,https://indianexpress.com/article/cities/delhi/rajiv-rangila-rs-700-crore-delhi-medical-supplies-fraud-10894234/,"Rajiv Rangila, 50, one of the alleged masterminds of the Rs 700-crore medical equipment procurement fraud, was arrested on Thursday after he surrendered before theAnti-Corruption Branch(ACB), official sources said. He had been absconding since June and was reported to have fled to the United States after former Directorate General of Health Services chief Dr Vatsala Aggarwal and other key accused were arrested in the case, sources added. His arrest comes nearly a week after the ACB filed a chargesheet against Rangila and others in the case. He was produced before a court on Friday and was sent to four days of police custody. ‘Contested 2014 Haryana poll’ A pharmaceutical trader,Rangila was summoned for questioning by the ACB in Julyin connection with the alleged fraud linked to DGHS, which manages public health programmes, medical infrastructure, and healthcare delivery across the Capital; and the Central Procurement Agency (CPA), the nodal agency that supplies medicines, vaccines and medical equipment to Delhi government hospitals and healthcare facilities. After he failed to appear before the agency despite being served multiple notices, ACB officials launched searches for him across Delhi-NCR and Uttarakhand. During its probe, the ACB found that Rangila owned properties in Delhi, Haryana and Uttarakhand. He had also contested the 2014 Assembly election from Karnal in Haryana as an Independent candidate but lost. Sources said a court had declared him a proclaimed offender and that the agency was planning to seize his properties in the first week of October. He had been on the run since June. Rangila’s role under lens Rangila is accused of being the “main beneficiary” of the alleged fraud, which came to light in May this year after the Vigilance department conducted raids at the CPA offices following multiple complaints. A resident of East Delhi, he allegedly created fake firms using fictitious owners in a bid to manipulate government tenders. The people allegedly shown as firm owners included his servants and tea vendors. Rangila was also accused of colluding with medical equipment manufacturers to fix supply rates and arrange for kickbacks to be paid back in cash. “Some of these firms include F Med Devices, Technocrats, Raj Shree, Ashi Surgical and Pharmaceuticals, and M Sahib and Sons Pvt. Ltd. Even as these firms were created with others registered as owners, the actual operator is Rajiv Rangila,” the Vigilance department stated in its complaint filed with the ACB. The ACB converted the complaint into an FIR on June 2. Sources said the agency would question him about his shell companies and the people who allegedly helped him establish them. He would also be questioned about missing files in the department, sources added. Sources said the tender specifications and terms were allegedly drafted to favour certain firms, while fake companies were allegedly placed on record to create confusion. Rangila allegedly prepared restrictive specifications in collusion with manufacturers, after which the documents were routed to Dr Vinod Kumar Ranga, Head of Office (HOO) of the CPA, who placed them before the tender committee. Ranga was the first person to be arrested in the case on June 18. According to the FIR, members of the tender committees were allegedly coerced into approving these tailor-made specifications. Former DGHS chief Dr Aggarwal, who was arrested on June 27, allegedly gave the final approval to the skewed tender conditions. Along with Aggarwal, Deputy Controller of Accounts (DCA) Neeraj Chopra was also arrested. Officials alleged that fake companies controlled by Rangila submitted bills for supplies made to the CPA, and payments were released within one or two days. Sources said Rangila was also booked in another case by the Delhi Police’s Crime Branch, which was later quashed."
"‘Concerns PM’: Meta gets 24 hours to drop morphed photo, CJP leaders get notice",Garv Jain,https://indianexpress.com/article/legal-news/delhi-high-court-cjp-police-protection-woman-pm-modi-deepfake-meta-takedown-order-10893935/,"TheDelhi High CourtFriday directed police protection for a woman who accused Cockroach Janta Party (CJP) leaders, including Saurav Das andAbhijit Dipke, of circulating alleged obscene morphed pictures of her with the Prime Minister and exposing her to death threats. Justice Girish Kathpalia also directedMetato “immediately”, in not more than 24 hours, take down the objectionable photos. The court issued directions, noting that it is an “extraordinary” matter since it concerns the PM. “Otherwise I will not interfere in this kind of proceedings because you’ve remedy available in law. But this is an extraordinary petition in which it is not just a matter of one lady but a matter of the prime minister of this country… I believe action will be taken,” Justice Kathpalia remarked, addressing the police. The court issued notice to all respondent parties in the woman’s plea, and sought a status report from the Delhi Police on the progress of the probe within a week. The court was hearing a plea filed by a woman against CJP leaders Saurav Das, Abhijit Dipke, Ashutosh Ranka and Ratna Singh for allegedly posting and circulating an alleged deepfake picture of her alongside PM Narendra Modi on social media. The woman had filed an FIR with the Delhi cyber police station on Thursday. However, according to her plea, the police have not acted on the objectionable content circulating online so far. Terming such circulation a “coordinated cyber-assault and public character assassination using deepfake technology”, the woman sought that the alleged morphed images be taken down as well as police protection for herself. Seeking the takedown of posts falls under the civil jurisdiction of the court. The woman’s counsel told the court that “although some of the reliefs” should have been sought through a civil writ petition instead of the present criminal writ petition, they may be granted given the “intertwined nature of the factual matrix” and the “utmost urgency” to protect the woman’s modesty and dignity. “Prima facie, I find force in this argument,” the court noted, while recording the Delhi Police’s assurance that action in the case shall be taken as expeditiously as possible. The court recorded, “… in order to ensure that she is provided complete police protection, it is directed that today itself she will disclose her exact residential address to SI Anurag present in court, and SI Anurag shall forthwith transmit the address to SHO of the area in which the (woman) resides. SI Anurag shall also transmit a copy of this order to the said SHO who is directed to ensure complete police protection to (the woman) in all possible and practical manner.”"
Women wrestlers move court against Brij Bhushan acquittal: ‘Ideal victim’ standard applied,Garv Jain,https://indianexpress.com/article/legal-news/brij-bhushan-acquital-sexual-harassment-wrestlers-wfi-10893647/,"Women wrestlers moved a Sessions Court in Delhi challenging the acquittal of formerBJP MP and ex-Wrestling Federation of India (WFI) chief Brij Bhushanin the sexual harassment case lodged against him. The petition filed by the wrestlers claimed that the trial court order applied the “ideal victim standard” throughout, arguing that the judgment unfairly relied on stereotypes of how a victim “should” act. The petition is listed for Saturday at 10 am before Special Judge Dig Vinay Singh of Rouse Avenue Court. Bhushan was acquitted on August 3, more than three years after six women wrestlers accused him of sexual harassment. In the order, theAdditional Chief Judicial Magistrate (ACJM) Ashwini Panwar had said the allegations are “false and fabricated”and “seem to be politically motivated”. “… I have no hitch in saying that the version given by the victims ‘p’ and ‘i p’ discredit the prosecution case completely and also show that the entire allegations are false and fabricated made collectively at the instance of ‘v p’, ‘b p’, and the coaches of Mahadev Academy, against the accused persons in deep conspiracy which seems to be motivated politically,” the court had said. Wrestlers’ contention The petition filed by thewrestlers contended that the trial court discredited the complainantssimply because they could not recall incident dates with photographic precision, did not immediately fight back, and maintained professional ties with the accused despite his complete control over their careers. It also claimed the order was “archaic” and founded on an “erroneous and selective appreciation of evidence on record”. It said the order relied on “stereotypical assumptions about the “expected” behaviour of victims of sexual assault and harassment, rather than on a fair, evidence-based assessment”. The petition further said the magistrate court “repeatedly treats the absence of retaliation” as proof that the “allegations are false”. As per the August 3 order, the court noted that the victims had initially been hesitant to level allegations against the accused, fearing that doing so could jeopardise their careers. When they eventually came forward, the order noted, they gave “wrong” details about the country and year in which the alleged incident took place. It cited this “contradiction” among the major reasons for acquitting Bhushan. “All the victims have deposed that they did not make allegations against the accused persons timely as they feared loss of their career… when they took up the courage to do so, they ended up mentioning the wrong country and the wrong year as the alleged place and year of the incident in question… the shift in the first/initial version of the witness with respect to the place/country and the year where the incident allegedly occurred is fatal to the prosecution story,” the court had said. The trial in the case was completed three years after a chargesheet was filed. A total of 32 prosecution witnesses were examined. Two complainants had alleged that Bhushan touched them inappropriately and sexually using the pretext of checking their breathing patterns. Of the six complainants, two later turned hostile. In allegations levelled by a third complainant, charges were not framed. Vinod Tomar, the then assistant secretary of the WFI, was also acquitted in the case."
How Iran’s 7-day plan to end war with US mirrors June memorandum,Garv Jain,https://indianexpress.com/article/explained/explained-global/iran-seven-day-plan-us-strait-hormuz-trump-araghchi-10893465/,"Iranian Foreign MinisterAbbas Araghchisaid on Thursday (September 24) that Iran had proposed a seven-day plan to the US to end the ongoing war, reopen the Strait of Hormuz, and initiate comprehensive talks about Tehran’s nuclear programme. “We have introduced a plan to the United States through the intermediators that if certain conditions are met, the Strait of Hormuz would be open on the end of the seventh day and talks would restart,” Araghchi told reporters at a press briefing at the United Nations General Assembly (UNGA) in New York. Here are the key takeaways from Tehran’s proposal to end the conflict in West Asia ongoing since February. Old wine, new bottle Araghchi said that the latest proposal builds on the commitments that both Iran and the US agreed to in a Memorandum of Understanding (MoU) in June. Iranian officials said that the new proposal, while similar to the MoU, was designed to move at a much faster pace. On paper, the June agreement had granted a 60-day extension to a ceasefire that was announced in April. The hope was that during this period, even as the two countries negotiated the terms of a final agreement, the US would issue waivers for Iranian oil exports while shipping through the Strait of Hormuz — the narrow waterway between Iran and Oman that accounted for a fifth of global oil flows before the West Asia war began — would gradually return to prewar levels. The agreement also said that Iran and Oman would “determine” how to administer maritime traffic through the Strait. The MoU, which was criticised by both Republicans and Democrats, also entailed Israel halting its military operations in Lebanon. The deal, however, unravelled in early July after alleged violations on both sides. Although theDonald Trump-led US administration has said that it will not return to the June agreement, Iranian officials in New York have engaged in diplomatic talks with the US on the sidelines of the UNGA. According to Araghchi, Iran’s new proposal sets the following terms: Iran would immediately put the plan into effect once the US agreed to it, Araghchi said. On Tuesday (September 22), US President Donald Trump said in his address to the UNGA that Iran’s government was stalling on striking a deal until after the US midterm elections in November in the hope that Trump’s Republican Party would lose power. He added that if Iran did not agree to his terms, he could drive the Iranians “into hell with no chance of survival and no hope of future greatness or generations”. Even though Trump said that “when it comes to Iran, [the election] doesn’t even enter my mind” and has made similar statements in the past, anger over soaring fuel prices caused by the West Asia conflict could be a pressing issue for many voters. Petrol and diesel prices in the US have hit record highs even as Trump’s approval ratings have hit new lows. Presently, the Republicans control both Houses of the US Congress — the Senate and the House of Representatives. Recent polling suggests that the Democrats hold a modest advantage over the incumbents just over a month ahead of the midterm elections. Araghchi seemed to indicate as much when he said that “it would be better” if both sides reached an agreement before the November elections, although he insisted that Tehran was “not in a hurry”. “I think it would be much better if it is done before the midterm election, but it depends on the US administration to decide. We don’t care about the timing,” the Iranian foreign minister said. “But the plan is very clear. The moment they accept this plan, from the next day, this timetable can start, and after seven days, the strait will be open.” Iran’s economic strain As the war has progressed, Iran’s economy has come under serious strain. Iranians are suffering from skyrocketing food inflation, a shortage of medicines, and disruptions to trade and commerce. Even after Trump’s speech at the UNGA, representatives of both Iran and the US held talks via Qatari intermediaries. A White House official, declining to comment on Iran’s proposal, told theFinancial Timesthat the US and Iran “are having positive and constructive discussions through the mediators”. The Iranians, however, indicated they were not optimistic that the US would stick to any agreement. Trump now needs to consider the benefits of a deal with Iran before November as opposed to keeping up the pressure to procure further gains. The White House official said, “The United States is in a very strong position with control of the Strait of Hormuz, so we are not in a rush. Nearly 22 million barrels of oil left the Strait last night.” Ali Vaez, the Iran director of the global think-tank International Crisis Group, said that Iran’s proposal was a “smart move”. “They know it’s very tempting for President Trump because it ends an unpopular war and brings down energy prices in the run-up to the midterms. But it also restores a deal that was largely favorable to the Iranians. A compressed timeline to get to the nuclear issue should be appealing to an impatient president,” he toldThe New York Times."
"Bangladesh may not send Hilsa to India this Durga Puja, stops imports too",Garv Jain,https://indianexpress.com/article/cities/kolkata/bangladesh-hilsa-export-india-durga-puja-2026-10893727/,"In news that will disappoint fish lovers,Bangladeshis unlikely to export Hilsa to India this Durga Puja season and has also stopped importing the famed fish from India. This comes weeks after India exported 500 metric tonnes of Hilsa to Bangladesh in a role reversal of sorts. According to fish traders inKolkata, this is a deviation from the annual practice of the Bangladesh government earmarking the amount and window forHilsa exports to Indiajust before Durga Puja. “They have abruptly stopped imports from India. All permits in their country were cancelled through a circular on September 23. Also, Bangladesh is not allowing the import of Hilsa this year. Time has run out,” said Syed Anwar Maqsood, secretary of the Fish Importers Association in Bengal and the Howrah wholesale fish market. “Every year, between September 15 and 20, just before Durga Puja, the Bangladesh government makes an announcement, allowing us to import Hilsa. They also fix the amount which can be imported. But this year, the time has passed. From October 7, fishermen in Bangladesh will stop catching Hilsa. So we have no time to import,” he added. “It is very unfortunate. Hilsa from Bangladesh is in high demand here, especially the ones from the Padma River. But this time, we won’t get it. Interestingly, even during the political upheaval in Bangladesh and under the caretaker government, we were allowed to import Hilsa,” added Maqsood. “The movement of Hilsa from India to Bangladesh through Petrapole has stopped. They are unlikely to allow imports to India. We do not know what prompted the decision, but it is unprecedented,” said Kartik Chakraborty, secretary of Petrapole Clearing Agents Staff Welfare Association. Incidentally, a delegation from the Fish Importers Association visited Dhaka in August, met Ataur Rehman Khan, Bangladesh’s Commerce secretary, and requested that the ban on Hilsa exports to India be lifted. Bangladesh imposed restrictions on exporting Hilsa to India in 2012. But since 2019, the neighbouring country has lifted the curbs for a short window during the Durga Puja season. “But now we see the small window for imports before Durga Puja is also gone,” said Maqsood. In September 2019, India imported 500 metric tonnes of Bangladesh Hilsa. This rose to 1,850 metric tonnes in September 2020. In September 2021, 1200 metric tonnes were imported. The next year, this number was 1300 metric tonnes. In September 2023, 587 metric tonnes of Hilsa were imported. In September 2024, 577 metric tonnes of Bangladesh Hilsa came to India. Last year, it was 150 metric tonnes. This year, in a role reversal, over 500 metric tonnes of Hilsa were sent to Bangladesh through the Petrapole land port in the past two months. A substantial proportion of the consignments India sent originated from Gujarat, particularly the Bharuch region, while some supplies have moved through the Howrah wholesale fish market in Bengal. Hilsa from India with high roe content has high demand in Chattogram, Sylhet and other districts of Bangladesh. Some fish from India are also used to prepare dried and salted products in Bangladesh."
