Make,Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH,Price (in USD)
Porsche,911,2022,3,379,331.0,4.0,101200
Lamborghini,Huracan,2021,5.2,630,443.0,2.8,274390
Ferrari,488 GTB,2022,3.9,661,561.0,3.0,333750
Audi,R8,2022,5.2,562,406.0,3.2,142700
McLaren,720S,2021,4,710,568.0,2.7,298000
BMW,M8,2022,4.4,617,553.0,3.1,130000
Mercedes-Benz,AMG GT,2021,4,523,494.0,3.8,118500
Chevrolet,Corvette,2021,6.2,490,465.0,2.8,59900
Ford,Mustang Shelby GT500,2022,5.2,760,625.0,3.5,81000
Nissan,GT-R Nismo,2021,3.8,600,481.0,2.5,212000
Aston Martin,DB11,2021,5.2,630,516.0,3.5,201495
Bugatti,Chiron,2021,8,1500,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717,656.0,3.5,61000
Jaguar,F-Type,2022,3,296,295.0,5.4,70100
Koenigsegg,Jesko,2021,5,1280,1015.0,2.5,2800000
Lexus,LC 500,2021,5,471,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416,317.0,3.8,104450
Maserati,GranTurismo,2021,4.7,454,384.0,4.8,150000
Porsche,Boxster,2021,2,300,280.0,4.7,62000
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443.0,3.8,78000
Ariel,Atom,2021,2,320,243.0,2.8,75000
Bentley,Continental GT,2021,6,626,664.0,3.6,225000
McLaren,Artura,2022,3,671,531.0,3.0,225000
Mercedes-AMG,SLS AMG,2021,6.2,622,468.0,3.5,248000
Pagani,Huayra,2021,6,720,737.0,2.8,2800000
Polestar,1,2021,2,600,738.0,4.1,155000
Rimac,Nevera,2022,Electric,1914,1696.0,1.85,2400000
Porsche,Cayman GT4,2022,4,414,309.0,3.8,100200
Lamborghini,Aventador SVJ,2021,6.5,759,531.0,2.8,517770
Ferrari,SF90 Stradale,2021,4,986,590.0,2.5,625000
Audi,RS7,2022,4,591,590.0,3.5,117000
McLaren,Artura,2021,3,671,531.0,3.0,225000
BMW,M4,2022,3,503,479.0,3.8,72800
Mercedes-Benz,SLS AMG,2015,6.2,622,468.0,3.2,222000
Chevrolet,Camaro ZL1,2021,6.2,650,650.0,3.5,64695
Ford,GT,2022,3.5,660,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350,276.0,4.5,45690
Porsche,Taycan 4S,2022,Electric Motor,562,479.0,3.8,104000
Lamborghini,Urus,2021,4,641,626.0,3.5,218000
Ferrari,Roma,2021,3.9,611,561.0,3.3,222000
Audi,RS3,2022,2.5,394,369.0,3.9,57000
McLaren,GT,2021,4,612,465.0,3.1,210000
BMW,i8,2020,1.5 + Electric,369,420.0,4.2,148500
Mercedes-Benz,CLS63 AMG,2019,4,603,627.0,3.4,132000
Porsche,Cayman,2021,2,300,280.0,5.1,58900
Lamborghini,Aventador SVJ,2021,6.5,759,531.0,2.8,518000
Audi,RS3,2022,2.5,394,369.0,3.9,56200
McLaren,570S,2021,3.8,562,443.0,2.8,192500
BMW,M4,2022,3,503,479.0,3.8,71800
Mercedes-Benz,AMG C63,2021,4,503,516.0,3.8,68000
Chevrolet,Camaro SS,2021,6.2,455,455.0,4.1,42500
Ford,Mustang GT,2022,5,460,420.0,4.3,39000
Nissan,370Z Nismo,2021,3.7,350,276.0,4.8,46100
Aston Martin,Vantage,2021,4,503,505.0,3.5,142100
Lotus,Evora GT,2021,3.5,416,317.0,3.8,105000
Porsche,Panamera,2021,2.9,325,331.0,5.1,87200
Lamborghini,Urus,2021,4,641,627.0,3.2,218000
Ferrari,Roma,2021,3.9,612,560.0,3.4,222000
Audi,S5,2022,3,349,369.0,4.4,52500
